,CustomerID,InvoiceNo,Total_price,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,InvoiceDate
36,12361,545017,174.89999999999998,0.0,35.400000000000006,139.5,0.0,0.0,2011-02-25 13:51:00.000000000
37,12362,544203,434.1,10.2,139.8,234.3,49.8,0.0,2011-02-17 10:30:00.000000000
38,12362,551346,450.2400000000001,38.04,61.8,219.5,115.0,15.9,2011-04-28 09:12:00.000000000
39,12362,559295,273.76000000000005,20.16,53.10000000000001,123.89999999999999,49.65,26.95,2011-07-07 12:32:00.000000000
40,12362,563037,424.2499999999999,51.0,68.4,292.1,12.75,0.0,2011-08-11 15:01:59.999999744
41,12362,568651,769.9900000000001,28.44,197.85000000000002,153.9,264.65,125.14999999999998,2011-09-28 12:04:00.000000000
47,12363,549687,299.1,79.2,0.0,172.2,0.0,47.7,2011-04-11 13:29:00.000000000
48,12363,563947,252.90000000000003,19.8,168.60000000000002,34.8,29.700000000000003,0.0,2011-08-22 10:18:00.000000000
49,12364,563854,578.92,194.11999999999998,32.45,317.7,34.650000000000006,0.0,2011-08-19 15:24:00.000000000
52,12365,544574,320.69,5.04,106.20000000000002,159.95000000000002,49.5,0.0,2011-02-21 13:50:59.999999488
54,12370,538826,1590.82,163.5,557.9,615.6200000000001,196.95000000000002,56.85,2010-12-14 12:58:00.000002816
55,12370,539330,157.2,10.2,17.700000000000003,11.6,49.7,68.0,2010-12-17 09:38:00.000000000
56,12370,546236,817.4300000000002,157.67999999999998,119.4,163.65,273.7,103.0,2011-03-10 12:48:00.000000000
59,12372,544157,363.22,40.32,97.80000000000001,128.39999999999998,49.0,47.7,2011-02-16 12:46:00.000000000
60,12372,552731,479.70000000000005,84.0,141.60000000000002,192.59999999999997,29.700000000000003,31.8,2011-05-11 10:42:59.999999744
61,12372,568872,353.12,19.919999999999998,17.700000000000003,283.5,32.0,0.0,2011-09-29 12:12:00.000000000
62,12373,542887,324.6,51.0,170.10000000000002,85.8,17.700000000000003,0.0,2011-02-01 13:10:00.000000000
64,12375,565333,190.30000000000004,25.5,83.2,0.0,49.800000000000004,31.8,2011-09-02 14:23:00.000000000
66,12377,539488,1001.5199999999996,98.52000000000001,219.6,327.6,355.8,0.0,2010-12-20 09:37:00.000001280
67,12377,542586,546.6,101.39999999999999,96.30000000000001,122.69999999999999,117.9,108.3,2011-01-28 15:45:00.000001024
68,12378,562046,3948.1400000000017,544.02,891.1600000000001,1376.6600000000003,629.5500000000002,506.75,2011-08-02 10:34:00.000003584
69,12379,557789,414.8399999999999,74.4,96.24,66.8,101.2,76.19999999999999,2011-06-22 16:32:00.000000000
70,12379,567196,362.40000000000003,8.5,142.70000000000002,211.20000000000005,0.0,0.0,2011-09-19 10:09:00.000000256
71,12380,555739,562.5500000000001,66.0,249.45,130.5,100.7,15.9,2011-06-07 09:49:00.000001024
72,12380,567928,572.0100000000001,21.0,300.80999999999995,144.89999999999998,39.6,65.7,2011-09-22 17:30:59.999999232
75,12381,563100,1028.74,103.78,286.36,332.09999999999997,153.9,152.6,2011-08-12 09:57:00.000001536
78,12383,539840,555.72,277.61999999999995,17.700000000000003,213.0,47.400000000000006,0.0,2010-12-22 14:28:00.000000000
79,12383,540971,539.3199999999998,114.36,96.0,249.96000000000004,45.0,34.0,2011-01-12 14:10:00.000000256
80,12383,546434,285.06999999999994,0.0,35.400000000000006,122.41999999999999,80.4,46.849999999999994,2011-03-14 08:41:00.000000000
81,12383,550284,127.16000000000003,20.16,0.0,17.4,49.800000000000004,39.8,2011-04-15 14:10:00.000000000
82,12383,555928,69.45,10.2,0.0,25.25,0.0,34.0,2011-06-08 08:02:00.000000000
83,12384,562882,212.69,6.64,35.400000000000006,38.25,54.6,77.8,2011-08-10 11:23:00.000000000
85,12386,537676,258.90000000000003,43.199999999999996,17.700000000000003,99.6,0.0,98.4,2010-12-08 09:53:00.000000000
86,12386,540280,143.0,68.0,0.0,75.0,0.0,0.0,2011-01-06 12:37:00.000000000
87,12388,541271,431.30000000000007,51.0,53.10000000000001,114.3,147.5,65.4,2011-01-17 11:12:00.000000000
88,12388,543357,124.05000000000001,0.0,17.700000000000003,15.0,75.0,16.35,2011-02-07 13:59:00.000000000
89,12388,546135,210.89999999999998,20.4,53.10000000000001,48.3,89.10000000000001,0.0,2011-03-09 15:47:00.000000000
90,12388,560033,902.0900000000001,126.36,217.98,249.8,178.5,129.45,2011-07-14 13:28:00.000000000
91,12388,568145,825.9200000000001,141.24,215.27,157.3,295.76,16.35,2011-09-25 11:30:00.000000000
93,12390,567530,504.84,116.04,60.60000000000001,140.1,128.50000000000003,59.6,2011-09-21 09:33:00.000001024
95,12393,540700,462.49999999999994,10.2,156.0,221.3,75.0,0.0,2011-01-11 09:46:59.999999744
96,12393,541149,177.00000000000003,0.0,0.0,0.0,177.00000000000003,0.0,2011-01-14 11:36:00.000000000
97,12393,549313,421.6000000000001,0.0,59.7,295.5,51.550000000000004,14.850000000000001,2011-04-08 09:45:00.000000000
98,12393,568708,521.5,36.6,73.2,265.5,146.2,0.0,2011-09-28 15:41:00.000000768
99,12394,552188,351.08,13.6,17.700000000000003,233.48000000000002,66.4,19.9,2011-05-06 14:01:00.000000512
101,12395,537026,310.1,225.7,44.7,19.799999999999997,0.0,19.9,2010-12-03 16:35:00.000000000
102,12395,539447,279.82,104.32000000000001,63.30000000000001,100.30000000000001,0.0,11.9,2010-12-17 16:00:00.000000000
103,12395,543733,216.51000000000002,111.36,30.599999999999998,37.199999999999996,37.35,0.0,2011-02-11 12:16:00.000000000
104,12395,547517,281.5,218.8,42.900000000000006,19.799999999999997,0.0,0.0,2011-03-23 14:33:00.000000000
105,12395,551985,134.97000000000003,15.120000000000001,17.700000000000003,32.55,69.60000000000001,0.0,2011-05-05 14:38:00.000000000
106,12395,552884,166.82000000000002,15.120000000000001,17.700000000000003,15.0,99.1,19.9,2011-05-12 10:15:00.000000000
107,12395,558623,148.9,47.2,48.3,23.4,30.0,0.0,2011-06-30 16:52:00.000000000
108,12395,563852,135.95,0.0,50.7,85.25,0.0,0.0,2011-08-19 15:18:00.000000000
113,12397,561507,1109.81,162.04000000000005,140.22000000000003,531.1999999999999,188.85,87.5,2011-07-27 14:21:00.000001536
116,12399,547412,273.05,159.60000000000002,14.75,98.69999999999999,0.0,0.0,2011-03-23 09:42:00.000000000
117,12399,552543,450.9,193.20000000000002,35.55,177.6,44.550000000000004,0.0,2011-05-10 10:22:00.000000000
118,12399,556203,115.07999999999998,90.11999999999999,24.96,0.0,0.0,0.0,2011-06-09 13:09:00.000000000
119,12399,563172,194.62000000000003,66.52,0.0,128.1,0.0,0.0,2011-08-12 13:15:00.000000000
120,12401,543537,69.3,0.0,0.0,36.45,15.0,17.85,2011-02-09 13:50:00.000000000
121,12402,541675,195.6,0.0,131.10000000000002,64.5,0.0,0.0,2011-01-20 13:49:00.000000000
123,12405,559928,1390.3900000000006,213.71999999999994,354.61000000000007,155.95999999999998,305.7,360.40000000000003,2011-07-14 08:52:00.000000000
124,12406,556127,1621.25,80.88,391.14000000000004,650.53,431.20000000000005,67.5,2011-06-09 10:22:59.999998720
126,12407,547061,211.29999999999998,69.72,0.0,128.08,13.5,0.0,2011-03-20 13:21:00.000000000
127,12407,550440,239.65999999999997,76.2,24.96,77.85,0.0,60.65,2011-04-18 12:25:00.000000000
128,12407,559058,629.0600000000001,106.16,88.25999999999999,310.64,89.25,34.75,2011-07-06 09:49:00.000001024
129,12407,561662,75.3,7.800000000000001,0.0,0.0,0.0,67.5,2011-07-28 16:28:00.000000000
131,12408,547684,687.8900000000001,92.94,186.05,198.89999999999998,210.0,0.0,2011-03-24 14:45:59.999999488
132,12408,547685,74.7,0.0,54.900000000000006,0.0,19.8,0.0,2011-03-24 14:47:00.000000000
133,12408,557147,594.1800000000002,110.0,187.34000000000003,188.10000000000002,41.900000000000006,66.84,2011-06-17 10:50:59.999999232
134,12408,565246,582.28,35.58,324.9,182.40000000000003,19.5,19.9,2011-09-02 10:27:00.000000000
136,12409,556415,6207.079999999999,523.4399999999999,901.0,2200.48,1481.8,1100.3600000000001,2011-06-10 12:18:59.999998464
137,12409,567642,4.95,0.0,0.0,0.0,4.95,0.0,2011-09-21 14:15:00.000000000
138,12409,567721,4738.240000000002,429.6,1038.6200000000001,1395.24,1410.54,464.24,2011-09-22 10:37:59.999998464
139,12410,543180,465.33,10.08,35.400000000000006,216.9,37.35,165.60000000000002,2011-02-04 10:38:00.000000000
140,12410,543181,68.0,0.0,0.0,0.0,0.0,68.0,2011-02-04 10:39:00.000000000
141,12412,557889,478.5,81.6,98.4,172.60000000000002,125.9,0.0,2011-06-23 13:50:59.999999232
142,12412,561102,358.24,55.559999999999995,29.880000000000003,173.20000000000002,99.60000000000001,0.0,2011-07-25 11:17:00.000000000
143,12412,568223,306.14,62.64,155.10000000000002,0.0,70.55,17.85,2011-09-26 10:16:00.000000000
144,12413,540365,425.25000000000006,73.4,97.55,49.75,44.7,159.84999999999997,2011-01-06 16:12:00.000000000
145,12413,550338,84.65,0.0,50.3,0.0,0.0,34.35,2011-04-17 15:33:00.000000000
147,12414,543027,113.76,54.36,0.0,59.39999999999999,0.0,0.0,2011-02-02 14:51:00.000000000
148,12414,550998,202.8,13.200000000000001,50.400000000000006,60.0,79.2,0.0,2011-04-26 09:12:00.000000000
149,12414,552202,125.85000000000001,0.0,0.0,37.199999999999996,39.6,49.050000000000004,2011-05-06 14:51:00.000000000
150,12415,540267,3813.2200000000003,251.76000000000002,946.7000000000002,1768.1599999999999,576.6,270.0,2011-01-06 11:12:00.000000000
151,12415,540557,81.6,81.6,0.0,0.0,0.0,0.0,2011-01-10 09:58:00.000000000
152,12415,543989,8671.880000000001,378.24,1519.3200000000002,1475.7199999999998,2925.7999999999997,2372.8,2011-02-15 09:52:00.000000000
153,12415,545475,10595.880000000001,479.7600000000001,1509.6,2502.5999999999995,2562.72,3541.1999999999994,2011-03-03 10:58:59.999998720
154,12415,553546,5262.72,505.44,230.39999999999998,1143.7199999999998,1837.56,1545.6000000000001,2011-05-17 15:41:59.999998208
155,12415,554037,688.5999999999999,0.0,0.0,418.59999999999997,270.0,0.0,2011-05-20 14:13:00.000000000
156,12415,556917,13694.330000000002,944.1599999999999,3262.64,4277.36,4367.249999999999,842.9200000000001,2011-06-15 13:36:59.999998208
157,12415,559919,363.0,159.0,0.0,0.0,204.0,0.0,2011-07-13 15:30:00.000000000
158,12415,559920,61.199999999999996,0.0,61.199999999999996,0.0,0.0,0.0,2011-07-13 15:31:00.000000000
159,12415,560491,158.65000000000006,32.28,25.37,46.29999999999998,48.45,6.25,2011-07-19 10:50:59.999998464
160,12415,563614,11315.239999999998,387.36,2795.9200000000005,5037.24,2755.72,339.0,2011-08-18 08:50:59.999998464
161,12415,565145,170.51999999999998,25.919999999999998,0.0,144.6,0.0,0.0,2011-09-01 13:50:00.000000000
165,12417,539391,261.34,0.0,38.1,107.94,50.1,65.19999999999999,2010-12-17 11:51:00.000000000
166,12417,541991,293.43999999999994,15.239999999999998,43.95,108.75,92.60000000000001,32.9,2011-01-25 09:11:00.000000256
167,12417,545536,365.0,40.5,45.349999999999994,119.75,89.60000000000001,69.8,2011-03-03 14:12:00.000000000
168,12417,551398,352.29999999999995,104.00000000000001,27.9,95.30000000000001,44.85,80.25,2011-04-28 13:09:00.000000512
169,12417,555574,392.19,9.24,53.10000000000001,125.65,71.1,133.1,2011-06-05 15:46:00.000000000
170,12417,562445,301.56,59.86,0.0,38.55,115.50000000000001,87.65,2011-08-04 18:50:59.999999488
171,12417,564378,517.69,90.8,32.64,139.35,155.75,99.15,2011-08-25 10:26:00.000000768
174,12418,563756,668.5799999999997,113.58000000000001,30.049999999999997,64.8,156.3,303.85,2011-08-19 11:08:00.000000000
176,12421,541980,129.45000000000002,42.599999999999994,52.2,9.899999999999999,24.75,0.0,2011-01-24 15:09:00.000000000
177,12421,557297,183.35000000000005,28.799999999999997,35.400000000000006,86.3,15.0,17.85,2011-06-19 13:54:00.000000000
178,12421,563518,175.76,43.76,0.0,81.3,15.0,35.7,2011-08-17 10:56:00.000000000
180,12422,541520,238.5,8.5,98.5,131.5,0.0,0.0,2011-01-19 09:13:00.000000000
181,12422,558041,297.36,48.599999999999994,106.20000000000002,84.35999999999999,58.2,0.0,2011-06-24 13:20:00.000000000
182,12422,565466,147.7,0.0,83.2,64.5,0.0,0.0,2011-09-05 09:48:00.000000000
183,12423,539676,192.93,42.08,63.0,57.099999999999994,14.850000000000001,15.9,2010-12-21 10:54:00.000000000
184,12423,544474,177.31,74.86,35.400000000000006,52.199999999999996,14.850000000000001,0.0,2011-02-21 09:52:00.000000000
185,12423,547109,317.35,26.799999999999997,140.7,112.2,19.8,17.85,2011-03-21 11:46:00.000000000
186,12423,549249,225.36,73.19999999999999,57.96,94.2,0.0,0.0,2011-04-07 12:04:00.000000000
187,12423,554147,303.82000000000005,36.64,109.48,88.1,33.2,36.4,2011-05-23 10:48:00.000000000
188,12423,555161,69.92,26.96,42.96,0.0,0.0,0.0,2011-06-01 09:26:00.000000000
189,12423,564853,153.98000000000002,53.71999999999999,60.660000000000004,39.599999999999994,0.0,0.0,2011-08-31 08:55:00.000000000
191,12424,558536,1466.3200000000002,19.919999999999998,705.3999999999999,146.4,594.6,0.0,2011-06-30 12:06:00.000000000
192,12424,558537,141.99999999999997,0.0,0.0,60.0,46.300000000000004,35.7,2011-06-30 12:06:00.000000000
193,12425,567929,777.1999999999999,75.34,147.40000000000003,438.46000000000004,99.00000000000001,17.0,2011-09-22 17:30:59.999998976
194,12426,554985,510.7299999999999,12.7,129.00000000000003,235.73,53.1,80.2,2011-05-29 12:26:00.000000256
195,12427,536861,249.50000000000006,0.0,60.9,59.39999999999999,0.0,129.2,2010-12-03 10:44:00.000000000
198,12428,545226,1943.3999999999994,128.39999999999998,421.2699999999999,560.8800000000002,254.0,578.85,2011-03-01 09:33:00.000001792
199,12428,545227,2474.62,425.5800000000001,158.5,628.31,1019.6800000000001,242.55,2011-03-01 09:35:00.000001792
200,12428,547086,289.2,0.0,0.0,32.4,42.3,214.5,2011-03-20 15:46:00.000000000
201,12428,548363,158.39999999999998,118.55999999999999,0.0,39.839999999999996,0.0,0.0,2011-03-30 15:48:00.000000000
202,12428,549588,253.72,69.39999999999999,55.260000000000005,42.36,45.0,41.7,2011-04-11 10:04:00.000000000
203,12428,559004,472.44000000000005,64.56,131.38,0.0,129.0,147.5,2011-07-05 12:22:59.999999744
204,12428,563020,485.1400000000001,93.24000000000001,261.80000000000007,40.8,49.5,39.8,2011-08-11 12:58:00.000000000
206,12429,538003,1137.5000000000002,50.4,174.60000000000002,222.79999999999998,490.2,199.50000000000003,2010-12-09 12:05:00.000000256
207,12429,551054,381.97999999999996,46.56,66.0,84.02,69.4,116.0,2011-04-26 11:44:00.000000000
208,12429,557427,963.4000000000001,61.31999999999999,237.78000000000003,63.0,505.6,95.7,2011-06-20 12:14:00.000000000
211,12431,536389,358.25,20.4,0.0,54.599999999999994,69.6,213.65,2010-12-01 10:03:00.000000000
212,12431,539419,415.7,30.599999999999998,19.5,36.3,162.5,166.8,2010-12-17 14:10:00.000000000
213,12431,542542,384.6799999999999,10.2,15.299999999999999,71.47999999999999,75.0,212.7,2011-01-28 14:37:00.000000512
214,12431,544193,565.1,54.0,95.4,203.45,152.65,59.6,2011-02-17 08:22:59.999998976
215,12431,545065,203.75,0.0,60.099999999999994,84.94999999999999,19.8,38.9,2011-02-27 14:43:00.000000000
216,12431,552956,475.1599999999999,30.36,195.74999999999997,59.4,32.7,156.95,2011-05-12 12:34:00.000000000
217,12431,554126,472.0899999999999,54.0,35.040000000000006,189.89999999999998,0.0,193.15,2011-05-23 09:14:00.000000000
218,12431,560473,483.0200000000001,15.120000000000001,17.700000000000003,82.8,177.95000000000002,189.45000000000002,2011-07-19 10:42:00.000000000
219,12431,561040,505.4599999999999,0.0,71.0,191.76,89.7,153.0,2011-07-24 12:05:00.000000512
220,12431,561228,118.8,0.0,0.0,118.8,0.0,0.0,2011-07-26 10:16:00.000000000
221,12431,563179,191.16000000000003,0.0,98.86000000000001,66.9,0.0,25.4,2011-08-12 14:19:00.000000000
226,12432,557472,2862.0600000000004,267.6000000000001,448.76000000000005,703.6,362.95000000000005,1079.15,2011-06-20 13:26:59.999999232
227,12432,557474,454.6,163.2,0.0,147.5,76.4,67.5,2011-06-20 13:29:00.000000000
230,12433,536532,1919.1400000000008,476.51999999999987,462.3,853.3200000000002,70.6,56.4,2010-12-01 13:24:00.000001536
231,12433,537868,1867.9800000000002,476.5199999999998,371.7000000000001,744.86,70.6,204.3,2010-12-08 16:48:59.999999744
232,12433,566195,2608.1100000000006,519.02,380.34000000000003,472.5,842.1999999999999,394.04999999999995,2011-09-09 13:44:00.000000000
237,12434,547659,286.25,33.599999999999994,17.700000000000003,17.700000000000003,12.75,204.5,2011-03-24 13:05:00.000000000
238,12434,567085,519.8899999999999,119.6,38.34,109.6,144.45000000000002,107.9,2011-09-16 12:37:59.999999232
239,12435,546780,3523.95,0.0,211.20000000000005,1400.3999999999999,135.0,1777.3500000000001,2011-03-17 07:40:00.000000000
240,12435,567526,3596.5,0.0,686.8000000000001,211.2,508.5,2190.0000000000005,2011-09-21 09:06:00.000000000
241,12436,565124,429.01000000000005,66.0,111.46000000000001,0.0,153.45,98.10000000000001,2011-09-01 12:08:59.999999744
242,12437,540972,338.7,64.2,0.0,248.99999999999997,0.0,25.5,2011-01-12 14:13:00.000000000
243,12437,543030,132.5,102.5,0.0,30.0,0.0,0.0,2011-02-02 15:22:00.000000000
244,12437,544817,308.0,118.8,30.599999999999998,124.6,0.0,34.0,2011-02-23 16:44:00.000000000
245,12437,544818,95.75999999999999,20.16,30.599999999999998,45.0,0.0,0.0,2011-02-23 16:45:00.000000000
246,12437,546765,129.71,43.8,0.0,85.91,0.0,0.0,2011-03-16 14:37:00.000000000
247,12437,551389,191.09999999999997,64.80000000000001,70.80000000000001,55.5,0.0,0.0,2011-04-28 11:45:00.000000000
248,12437,553577,332.20000000000005,13.200000000000001,91.8,133.8,59.400000000000006,34.0,2011-05-18 10:34:00.000000000
249,12437,554555,231.12,103.12,0.0,88.19999999999999,0.0,39.8,2011-05-25 10:08:00.000000000
250,12437,556816,447.64000000000004,182.23999999999998,66.0,199.39999999999998,0.0,0.0,2011-06-15 09:01:00.000000000
251,12437,565321,233.58,32.879999999999995,15.299999999999999,185.39999999999998,0.0,0.0,2011-09-02 13:14:00.000000000
252,12437,565322,65.1,18.7,0.0,46.4,0.0,0.0,2011-09-02 13:15:00.000000000
253,12437,567910,204.6,59.400000000000006,35.400000000000006,90.0,19.8,0.0,2011-09-22 16:58:00.000000000
260,12438,560991,770.0699999999998,137.94,137.57999999999998,299.75,107.25,87.55000000000001,2011-07-22 13:29:00.000001280
262,12441,537693,155.55,31.5,70.80000000000001,15.0,38.25,0.0,2010-12-08 10:45:00.000000000
264,12444,557621,1870.1999999999998,40.8,262.25,741.1999999999998,398.90000000000003,427.05,2011-06-21 14:00:00.000000000
265,12444,562844,477.07,0.0,0.0,212.87,94.20000000000002,170.0,2011-08-10 08:41:00.000000000
266,12444,566773,482.53999999999996,0.0,90.84000000000002,136.79999999999998,89.4,165.5,2011-09-15 09:42:59.999999744
271,12447,549559,431.49,6.8,135.6,173.04,64.35000000000001,51.7,2011-04-10 13:25:00.000000768
273,12449,555572,768.93,58.21999999999999,218.56,214.70000000000002,177.14999999999998,100.30000000000001,2011-06-05 15:37:00.000001280
274,12449,562034,687.95,27.48,146.52000000000004,101.5,246.60000000000002,165.85,2011-08-02 09:14:00.000001024
275,12449,566076,922.6999999999999,41.699999999999996,161.22000000000003,194.07999999999998,185.7,340.0,2011-09-09 09:13:00.000001280
277,12450,557303,101.88,20.159999999999997,65.22,16.5,0.0,0.0,2011-06-19 14:36:00.000000000
278,12450,559148,96.0,0.0,0.0,96.0,0.0,0.0,2011-07-06 14:41:00.000000000
279,12451,541518,2919.5099999999998,585.18,626.4,1332.0299999999997,147.60000000000002,228.29999999999998,2011-01-19 09:04:59.999997952
280,12451,552013,2388.31,599.66,540.3000000000002,898.1,217.5,132.75,2011-05-05 17:33:59.999997184
285,12453,561627,707.0899999999999,93.60000000000001,110.34,303.79999999999995,136.65000000000003,62.7,2011-07-28 14:08:00.000000000
287,12455,544097,1525.4999999999998,605.36,196.2,420.14,196.10000000000002,107.7,2011-02-16 09:56:00.000000000
288,12455,555470,236.4,0.0,104.0,66.0,66.4,0.0,2011-06-03 11:33:00.000000000
289,12455,559135,106.5,58.8,17.700000000000003,30.0,0.0,0.0,2011-07-06 13:18:00.000000000
290,12455,562287,50.56,0.0,0.0,50.56,0.0,0.0,2011-08-04 11:07:00.000000000
291,12455,568554,262.49999999999994,153.6,0.0,108.9,0.0,0.0,2011-09-27 15:30:59.999999744
292,12456,548212,780.1700000000001,138.12,86.10000000000001,219.95,89.7,246.3,2011-03-30 09:12:00.000000000
293,12456,561898,1045.2299999999998,128.14000000000001,111.00000000000001,610.1399999999999,124.5,71.45,2011-07-31 15:25:00.000001280
295,12457,550188,549.25,13.200000000000001,51.00000000000001,337.4,54.6,93.05000000000001,2011-04-14 18:57:00.000000512
296,12457,550281,179.0,0.0,179.0,0.0,0.0,0.0,2011-04-15 13:48:00.000000000
297,12457,550671,179.0,0.0,179.0,0.0,0.0,0.0,2011-04-20 10:10:00.000000000
298,12457,566756,743.28,50.64,32.64,352.90000000000003,269.45,37.650000000000006,2011-09-14 15:54:00.000000768
299,12457,567188,196.35,0.0,0.0,0.0,0.0,196.35,2011-09-19 09:04:00.000000000
301,12458,545084,361.91999999999996,55.92,78.30000000000001,175.50000000000003,52.2,0.0,2011-02-28 10:54:59.999999744
302,12458,568950,425.4800000000001,29.879999999999995,35.400000000000006,263.70000000000005,45.5,51.0,2011-09-29 15:25:00.000000256
303,12461,559372,626.8800000000001,33.84,35.400000000000006,158.14000000000001,145.5,254.0,2011-07-08 10:22:59.999998976
304,12462,543541,594.1099999999999,46.2,70.80000000000001,234.81,114.05000000000001,128.25,2011-02-09 14:44:00.000000000
306,12463,549825,314.57,6.72,97.5,182.0,14.850000000000001,13.5,2011-04-12 12:46:59.999999744
307,12463,553415,261.38,48.81999999999999,30.180000000000003,162.48,0.0,19.9,2011-05-17 10:02:00.000000000
308,12463,557232,301.8400000000001,59.63999999999999,89.2,91.3,61.7,0.0,2011-06-17 14:28:00.000000000
310,12464,543117,168.9,0.0,15.299999999999999,119.6,0.0,34.0,2011-02-03 13:30:00.000000000
311,12464,545140,119.94999999999999,0.0,15.299999999999999,104.64999999999999,0.0,0.0,2011-02-28 12:08:00.000000000
312,12464,554159,116.99999999999999,0.0,15.299999999999999,101.69999999999999,0.0,0.0,2011-05-23 11:48:00.000000000
313,12464,554161,34.0,0.0,0.0,0.0,0.0,34.0,2011-05-23 11:49:00.000000000
314,12464,559890,30.599999999999998,0.0,30.599999999999998,0.0,0.0,0.0,2011-07-13 11:58:00.000000000
315,12464,564481,145.1,0.0,0.0,119.6,0.0,25.5,2011-08-25 13:33:00.000000000
318,12465,557885,410.94,104.14,119.4,104.39999999999999,50.6,32.4,2011-06-23 13:37:00.000000768
320,12468,542371,184.58999999999995,44.040000000000006,35.400000000000006,105.15,0.0,0.0,2011-01-27 13:29:00.000000000
321,12468,555523,472.95,44.900000000000006,174.60000000000002,135.9,84.15,33.4,2011-06-05 11:36:00.000000000
322,12471,538174,1982.4099999999999,296.15999999999997,347.4,937.6499999999999,224.4,176.8,2010-12-10 09:34:59.999998720
323,12471,539395,1286.2499999999998,91.8,162.60000000000002,675.8999999999999,194.25,161.7,2010-12-17 11:52:00.000000000
324,12471,539398,29.700000000000003,0.0,0.0,0.0,29.700000000000003,0.0,2010-12-17 11:53:00.000000000
325,12471,541093,663.4499999999999,0.0,45.9,545.3999999999999,72.15,0.0,2011-01-13 13:21:00.000000000
326,12471,543056,839.4,0.0,35.400000000000006,432.59999999999997,260.70000000000005,110.69999999999999,2011-02-03 10:47:00.000000256
327,12471,544811,334.29999999999995,70.3,0.0,73.19999999999999,139.8,51.0,2011-02-23 15:53:00.000000000
328,12471,546920,701.3199999999999,125.62,31.200000000000003,412.79999999999995,131.70000000000002,0.0,2011-03-18 09:55:00.000000000
329,12471,546921,33.0,0.0,18.0,0.0,15.0,0.0,2011-03-18 09:57:00.000000000
330,12471,548745,570.29,81.35999999999999,135.18,230.1,67.35,56.3,2011-04-04 12:10:00.000000000
331,12471,548746,50.0,0.0,0.0,50.0,0.0,0.0,2011-04-04 12:11:00.000000000
